Year;Month;Ano_Month
1750;1;2.166
1750;2;0.723
1750;3;-0.398
1750;4;1.988
1750;5;0.129
1750;6;0.406
1750;7;0.748
1750;8;1.678
1750;9;-2.048
1750;10;0.126
1750;11;-2.384
1750;12;-0.952
1751;1;1.169
1751;2;-0.510
1751;3;2.379
1751;4;1.084
1751;5;2.361
1751;6;-0.364
1751;7;5.108
1751;8;1.021
1751;9;0.569
1751;10;1.074
1751;11;-1.244
1751;12;0.240
1752;1;-1.332
1752;2;5.278
1752;3;2.339
1752;4;0.427
1752;5;2.134
1752;6;2.110
1752;7;3.234
1752;8;1.698
1752;9;NaN
1752;10;0.336
1752;11;1.889
1752;12;0.862
1753;1;0.576
1753;2;-0.193
1753;3;2.115
1753;4;-0.001
1753;5;0.439
1753;6;-0.237
1753;7;1.839
1753;8;-0.761
1753;9;-0.610
1753;10;0.434
1753;11;0.197
1753;12;-2.558
1754;1;0.652
1754;2;-1.747
1754;3;0.233
1754;4;5.707
1754;5;1.965
1754;6;0.136
1754;7;2.417
1754;8;-1.159
1754;9;-1.034
1754;10;1.209
1754;11;-0.236
1754;12;1.259
1755;1;0.938
1755;2;-0.523
1755;3;0.176
1755;4;0.063
1755;5;1.410
1755;6;0.982
1755;7;2.928
1755;8;1.760
1755;9;-0.255
1755;10;5.487
1755;11;0.547
1755;12;-0.787
1756;1;2.043
1756;2;4.331
1756;3;1.892
1756;4;3.839
1756;5;3.411
1756;6;0.423
1756;7;1.933
1756;8;-0.520
1756;9;0.278
1756;10;0.006
1756;11;-0.538
1756;12;-1.449
1757;1;-1.405
1757;2;2.913
1757;3;0.566
1757;4;1.281
1757;5;1.478
1757;6;2.785
1757;7;2.588
1757;8;5.708
1757;9;4.889
1757;10;-2.261
1757;11;-0.732
1757;12;-1.237
1758;1;-3.206
1758;2;-1.195
1758;3;0.623
1758;4;0.388
1758;5;-1.293
1758;6;0.898
1758;7;1.358
1758;8;-0.461
1758;9;0.305
1758;10;-0.051
1758;11;1.546
1758;12;-0.046
1759;1;2.892
1759;2;2.813
1759;3;1.342
1759;4;-0.399
1759;5;-0.505
1759;6;1.490
1759;7;-0.083
1759;8;2.555
1759;9;1.998
1759;10;0.475
1759;11;-0.641
1759;12;-3.383
1760;1;-3.017
1760;2;1.331
1760;3;-1.762
1760;4;-0.696
1760;5;-1.190
1760;6;-2.011
1760;7;-0.608
1760;8;-1.091
1760;9;-1.403
1760;10;-1.518
1760;11;0.249
1760;12;-1.850
1761;1;-1.163
1761;2;0.493
1761;3;2.063
1761;4;-0.059
1761;5;1.558
1761;6;2.598
1761;7;3.996
1761;8;-0.030
1761;9;0.429
1761;10;0.162
1761;11;0.368
1761;12;-4.054
1762;1;4.880
1762;2;3.576
1762;3;0.348
1762;4;-0.100
1762;5;-0.458
1762;6;-0.733
1762;7;-0.623
1762;8;2.979
1762;9;-1.147
1762;10;-1.563
1762;11;1.533
1762;12;0.159
1763;1;0.238
1763;2;-0.109
1763;3;-1.550
1763;4;0.348
1763;5;-0.645
1763;6;-0.972
1763;7;5.331
1763;8;-2.006
1763;9;0.145
1763;10;0.938
1763;11;0.355
1763;12;1.829
1764;1;1.541
1764;2;5.140
1764;3;2.404
1764;4;-1.025
1764;5;1.160
1764;6;0.149
1764;7;0.767
1764;8;-0.722
1764;9;1.148
1764;10;1.335
1764;11;1.435
1764;12;3.244
1765;1;0.742
1765;2;0.001
1765;3;1.477
1765;4;1.110
1765;5;-0.333
1765;6;-3.914
