CA3;continent
AFG;Asia
ZAF;Africa
ALA;Europe
ALB;Europe
DZA;Africa
DEU;Europe
AND;Europe
AGO;Africa
AIA;North America
ATA;Antarctica
ATG;North America
SAU;Asia
ARG;South America
ARM;Asia
ABW;North America
AUS;Oceania
AUT;Europe
AZE;Asia
BHS;North America
BHR;Asia
BGD;Asia
BRB;North America
BLR;Europe
BEL;Europe
BLZ;North America
BEN;Africa
BMU;North America
BTN;Asia
BOL;South America
BES;North America
BIH;Europe
BWA;Africa
BVT;South America
BRA;South America
BRN;Asia
BGR;Europe
BFA;Africa
BDI;Africa
CPV;Africa
CYM;North America
KHM;Asia
CMR;Africa
CAN;North America
CHL;South America
CHN;Asia
CXR;Oceania
CYP;Asia
CCK;Oceania
COL;South America
COM;Africa
COG;Africa
COD;Africa
COK;Oceania
KOR;Asia
PRK;Asia
CRI;North America
CIV;Africa
HRV;Europe
CUB;North America
CUW;North America
DNK;Europe
DJI;Africa
DOM;North America
DMA;North America
EGY;Africa
SLV;North America
ARE;Asia
ECU;South America
ERI;Africa
ESP;Europe
EST;Europe
SWZ;Africa
USA;North America
ETH;Africa
FLK;South America
FRO;Europe
FJI;Oceania
FIN;Europe
FRA;Europe
GAB;Africa
GMB;Africa
GEO;Asia
SGS;South America
GHA;Africa
GIB;Europe
GRC;Europe
GRD;North America
GRL;North America
GLP;North America
GUM;Oceania
GTM;North America
GGY;Europe
GIN;Africa
GNQ;Africa
GNB;Africa
GUY;South America
GUF;South America
HTI;North America
HMD;Oceania
HND;North America
HKG;Asia
HUN;Europe
IMN;Europe
UMI;Oceania
IND;Asia
IOT;Africa
IDN;Asia
IRN;Asia
IRQ;Asia
IRL;Europe
ISL;Europe
ISR;Asia
ITA;Europe
JAM;North America
JPN;Asia
JEY;Europe
JOR;Asia
KAZ;Asia
KEN;Africa
KGZ;Asia
KIR;Oceania
KWT;Asia
LAO;Asia
LSO;Africa
LVA;Europe
LBN;Asia
LBR;Africa
LBY;Africa
LIE;Europe
LTU;Europe
LUX;Europe
MAC;Asia
MKD;Europe
MDG;Africa
MYS;Asia
MWI;Africa
MDV;Asia
MLI;Africa
MLT;Europe
MNP;Oceania
MAR;Africa
MHL;Oceania
MTQ;North America
MUS;Africa
MRT;Africa
MYT;Africa
MEX;North America
FSM;Oceania
MDA;Europe
MCO;Europe
MNG;Asia
MNE;Europe
MSR;North America
MOZ;Africa
MMR;Asia
NAM;Africa
NRU;Oceania
NPL;Asia
NIC;North America
NER;Africa
NGA;Africa
NIU;Oceania
NFK;Oceania
NOR;Europe
NCL;Oceania
NZL;Oceania
OMN;Asia
UGA;Africa
UZB;Asia
PAK;Asia
PLW;Oceania
PSE;Asia
PAN;North America
PNG;Oceania
PRY;South America
NLD;Europe
PER;South America
PHL;Asia
PCN;Oceania
POL;Europe
PYF;Oceania
PRI;North America
PRT;Europe
QAT;Asia
SYR;Asia
CAF;Africa
REU;Africa
ROU;Europe
GBR;Europe
RUS;Europe
RWA;Africa
ESH;Africa
BLM;North America
SHN;Africa
LCA;North America
KNA;North America
SMR;Europe
MAF;North America
SXM;North America
SPM;North America
VAT;Europe
VCT;North America
SLB;Oceania
WSM;Oceania
ASM;Oceania
STP;Africa
SEN;Africa
SRB;Europe
SYC;Africa
SLE;Africa
SGP;Asia
SVK;Europe
SVN;Europe
SOM;Africa
SDN;Africa
SSD;Africa
LKA;Asia
SWE;Europe
CHE;Europe
SUR;South America
SJM;Europe
TJK;Asia
TWN;Asia
TZA;Africa
TCD;Africa
CZE;Europe
ATF;Africa
THA;Asia
TLS;Asia
TGO;Africa
TKL;Oceania
TON;Oceania
TTO;North America
TUN;Africa
TKM;Asia
TCA;North America
TUR;Asia
TUV;Oceania
UKR;Europe
URY;South America
VUT;Oceania
VEN;South America
VGB;North America
VIR;North America
VNM;Asia
WLF;Oceania
YEM;Asia
ZMB;Africa
ZWE;Africa
